symbol,year,total_return,annual_return,benchmark_return,excess_return,max_drawdown,buy_signals,sell_signals,total_trades,profitable_trades,win_rate,profit_loss_ratio,avg_win,avg_loss,data_days,start_date,end_date
HBAR_USDT,2025,-0.08228059770332075,-0.08228059770332075,-0.6393147896879241,0.5570341919846034,-0.09891013777503599,6,292,6,3,0.5,0.5832397199271669,0.03546279480301527,0.06080312021177801,365,2025-01-01,2025-12-31
SAND_USDT,2025,-0.09219229964381304,-0.09219229964381304,-0.8107167710508006,0.7185244714069876,-0.16971358927483227,3,307,3,2,0.6666666666666666,0.05993183075731939,0.006192364217768437,0.10332346166502133,365,2025-01-01,2025-12-31
MANA_USDT,2025,-0.09404858295413487,-0.09404858295413487,-0.7554840008049903,0.6614354178508555,-0.38927078804368276,4,286,4,2,0.5,0.8866337568520536,0.1267732579757567,0.14298266561140022,365,2025-01-01,2025-12-31
SHIB_USDT,2025,-0.10514339407373796,-0.10514339407373796,-0.6815668202764973,0.5764234262027593,-0.23450171502787232,4,304,4,1,0.25,0.7924977442328143,0.03770848440899203,0.04758181923343658,365,2025-01-01,2025-12-31
ICP_USDT,2025,-0.11103775675428518,-0.11103775675428518,-0.7294800990287564,0.6184423422744713,-0.2694018739247098,5,303,5,3,0.6,0.4534810860500663,0.06084283116230448,0.13416839871373856,365,2025-01-01,2025-12-31
SOL_USDT,2025,-0.13238316921982773,-0.13238316921982773,-0.35840024706609075,0.22601707784626301,-0.2217021470613496,3,237,3,1,0.3333333333333333,1.2190040546089322,0.165323783945091,0.13562201316723954,365,2025-01-01,2025-12-31
ETC_USDT,2025,-0.17203274915319822,-0.17203274915319822,-0.5552111584657102,0.383178409312512,-0.17203274915319822,4,303,4,1,0.25,0.6332854621774169,0.046998867497168646,0.07421434772175738,365,2025-01-01,2025-12-31
FIL_USDT,2025,-0.18013027375974744,-0.18013027375974744,-0.7465338801015429,0.5664036063417954,-0.18013027375974744,6,313,6,2,0.3333333333333333,0.22524311193072755,0.011868710562656017,0.05269289018838535,365,2025-01-01,2025-12-31
LINK_USDT,2025,-0.18959295262196774,-0.18959295262196774,-0.43810400368154645,0.2485110510595787,-0.23760356885208744,7,270,7,2,0.2857142857142857,0.5721435110101047,0.029544694124249996,0.051638607369835575,365,2025-01-01,2025-12-31
LTC_USDT,2025,-0.23971928041987245,-0.23971928041987245,-0.2697643481565941,0.030045067736721665,-0.35671387189686743,7,247,7,2,0.2857142857142857,0.7739462138055473,0.054847563132716916,0.07086740932942567,365,2025-01-01,2025-12-31
